image_name,translation_error,rotation_error_deg
frame_00206.png,0.03103424,0.53991476
frame_00207.png,0.01779274,0.54113924
frame_00209.png,0.01909571,0.51984952
frame_00210.png,0.01469996,0.51374872
frame_00212.png,0.01823652,0.60167183
frame_00214.png,0.02249685,0.58747266
frame_00215.png,0.01944696,0.57398139
frame_00217.png,0.01853438,0.59143974
frame_00218.png,0.02061631,0.61259905
frame_00220.png,0.01475155,0.53359523
frame_00221.png,0.01181017,0.55747643
frame_00223.png,0.01520582,0.57889942
frame_00224.png,0.01991794,0.57376804
frame_00226.png,0.01861471,0.55610073
frame_00227.png,0.01813917,0.58235220
frame_00229.png,0.02546861,0.58970494
frame_00230.png,0.02729044,0.61795710
frame_00232.png,0.01694046,0.62145197
frame_00233.png,0.02250100,0.58345360
frame_00235.png,0.02038928,0.67315140
frame_00237.png,0.02613293,0.69201376
frame_00238.png,0.02159758,0.71656432
frame_00240.png,0.02445076,0.65697018
frame_00241.png,0.02591255,0.60835121
frame_00243.png,0.01117174,0.67193664
frame_00244.png,0.01220279,0.72390482
frame_00246.png,0.01415532,0.72722199
frame_00247.png,0.00805899,0.67250465
frame_00249.png,0.01000768,0.66042184
frame_00250.png,0.02273285,0.65948783
frame_00252.png,0.01590653,0.76206777
frame_00253.png,0.01224715,0.76677462
frame_00255.png,0.01278330,0.76415386
frame_00256.png,0.01139306,0.74549108
frame_00258.png,0.01250256,0.74794640
frame_00260.png,0.01334101,0.77059671
frame_00261.png,0.02110811,0.75588698
frame_00263.png,0.02038631,0.73679826
frame_00264.png,0.02811633,0.72239835
frame_00266.png,0.00720881,0.77390588
frame_00267.png,0.01612843,0.77988127
frame_00269.png,0.02233685,0.78264926
frame_00270.png,0.02201378,0.84429095
frame_00272.png,0.01945775,0.78618888
frame_00273.png,0.02426963,0.82225613
frame_00275.png,0.01653390,0.75673955
frame_00276.png,0.02433960,0.79671885
frame_00278.png,0.02638401,0.92972122
frame_00279.png,0.02901996,0.85642501
frame_00281.png,0.04089553,0.95767213
frame_00283.png,0.03046824,0.87780927
frame_00284.png,0.02829420,0.84098826
frame_00286.png,0.02983958,0.88302797
frame_00287.png,0.03282191,0.90924796
frame_00289.png,0.03211827,0.81048844
frame_00290.png,0.02483050,0.79803209
frame_00292.png,0.01753930,0.78235075
frame_00293.png,0.02420644,0.80318498
frame_00295.png,0.02391869,0.77646462
frame_00296.png,0.03040920,0.80707654
frame_00298.png,0.02750263,0.80348593
frame_00299.png,0.02696438,0.76777098
frame_00301.png,0.04475182,0.88387085
frame_00302.png,0.03094387,0.83170637
frame_00304.png,0.03205628,0.76310809
frame_00306.png,0.03264965,0.78605022
